start_date,end_date,title,website,description
2020-03-25,2020-03-27,CityJS,https://cityjsconf.org/,"CityJS Conference is a JavaScript festival across London, a joint event from the London's JavaScript meetups, including London JS Community, JS Monthly, Halfstack and Node User Group."
2020-03-02,2020-03-06,QCon,https://qconlondon.com/,"QCon London is a conference for senior software engineers and architects on the patterns, practices, and use cases leveraged by the world's most innovative software shops."
2020-03-14,2020-03-15,IndieWebCamp London,https://2020.indieweb.org/london,"IndieWebCamp London 2020 is a gathering for independent web creators of all kinds, from graphic artists, to designers, UX engineers, coders, hackers, to share ideas, actively work on creating for their own personal websites, and build upon each others creations."
2020-04-02,2020-04-02,GenerateJS,https://www.generateconf.com/JSBOOK,"Generate is brought to you by leading design magazine brands net and Creative Bloq. At our latest conference, once again hosted at Rich Mix in Shoreditch, youâ€™ll be able to attend awesome talks on all things JavaScript, including the latest libraries, most fashionable frameworks and more than a hint of vanilla JS."
2020-05-13,2020-05-15,Continuous Lifecycle London,https://continuouslifecycle.london/,"Continuous Lifecycle London brings you together with the finest minds in DevOps, Containers, Continuous Delivery and Cloud Native development. Over three days of conference sessions and hands-on workshops, our speakers will take you through fundamental concepts, analyse real world scenarios, and explore key tools and technologies in depth, so that you can accelerate your own software development and deployment transformation."
2020-05-13,2020-05-15,Devoxx,https://www.devoxx.co.uk/,"Devoxx UK is a 3-day conference where developers and architects come together and explore the latest technology advancements and fascinating ideas, with some of the most inspiring speakers in our sector."
2020-05-11,2020-05-15,Software Design and Development,https://sddconf.com/,"SDD 2020 features 112 in-depth sessions and workshops on a wide range of key software development topics, delivered by 43 world-class speakers."
2020-06-24,2020-06-25,Lead Dev London,https://london2020.theleaddeveloper.com/,"Join our community at the Lead Dev London, where technical leaders learn to nurture high performing teams, apply the best tech and tools for the job, and thrive as they meet the challenges of software engineering leadership."
2020-07-03,2020-07-03,Brighton Ruby,https://brightonruby.com/,"A friendly, inclusive, single day, single track event for Rubyists and the Ruby-curious."
2020-09-24,2020-09-25,Devopsdays London,https://devopsdays.org/events/2020-london/welcome/,"Devopsdays is a worldwide series of technical conferences covering topics of software development, IT infrastructure operations, and the intersection between them. Each event is run by volunteers from the local area."
2020-11-05,2020-11-06,Code Mesh London,https://codesync.global/conferences/code-mesh-ldn/,"We bring together a unique mix of creators, developers, innovators, academics, and visionaries to help solve real-world problems using innovative, non-mainstream tech."
